,name,latitude,longitude,date,time,temperature,wind_speed,wind_dir,humidity,visibility
117,Dioni,38.023,23.933,2019-05-15,1500,21,19,155,57,10
118,Dioni,38.023,23.933,2019-05-15,1800,18,14,155,66,10
119,Dioni,38.023,23.933,2019-05-15,2100,17,9,205,70,10
120,Dioni,38.023,23.933,2019-05-16,0,17,4,180,70,10
121,Dioni,38.023,23.933,2019-05-16,300,15,3,45,71,10
122,Dioni,38.023,23.933,2019-05-16,600,16,5,270,57,10
123,Dioni,38.023,23.933,2019-05-16,900,21,8,45,48,10
124,Dioni,38.023,23.933,2019-05-16,1200,22,12,225,48,10
125,Dioni,38.023,23.933,2019-05-16,1500,22,16,180,47,10
126,Dioni,38.023,23.933,2019-05-16,1800,20,13,180,58,10
127,Dioni,38.023,23.933,2019-05-16,2100,19,8,205,61,10
128,Dioni,38.023,23.933,2019-05-17,0,18,5,270,67,10
129,Dioni,38.023,23.933,2019-05-17,300,16,4,225,71,10
130,Dioni,38.023,23.933,2019-05-17,600,16,4,115,58,10
131,Dioni,38.023,23.933,2019-05-17,900,20,5,225,49,10
132,Dioni,38.023,23.933,2019-05-17,1200,22,6,155,52,10
133,Dioni,38.023,23.933,2019-05-17,1500,22,8,65,55,9
134,Dioni,38.023,23.933,2019-05-17,1800,21,6,115,63,10
135,Dioni,38.023,23.933,2019-05-17,2100,19,4,155,68,10
136,Dioni,38.023,23.933,2019-05-18,0,17,6,270,69,10
137,Dioni,38.023,23.933,2019-05-18,300,16,7,315,70,10
138,Dioni,38.023,23.933,2019-05-18,600,17,7,315,57,10
139,Dioni,38.023,23.933,2019-05-18,900,23,6,45,47,10
140,Dioni,38.023,23.933,2019-05-18,1200,24,6,225,45,10
141,Dioni,38.023,23.933,2019-05-18,1500,24,14,180,43,10
142,Dioni,38.023,23.933,2019-05-18,1800,21,14,180,54,10
143,Dioni,38.023,23.933,2019-05-18,2100,20,9,180,57,10
144,Dioni,38.023,23.933,2019-05-19,0,19,8,180,59,10
145,Dioni,38.023,23.933,2019-05-19,300,18,6,155,62,10
146,Dioni,38.023,23.933,2019-05-19,600,18,8,155,56,10
147,Dioni,38.023,23.933,2019-05-19,900,22,13,180,45,10
148,Dioni,38.023,23.933,2019-05-19,1200,23,17,180,46,10
149,Dioni,38.023,23.933,2019-05-19,1500,23,21,180,47,10
150,Dioni,38.023,23.933,2019-05-19,1800,21,18,155,63,10
151,Dioni,38.023,23.933,2019-05-19,2100,19,13,155,70,10
152,Dioni,38.023,23.933,2019-05-20,0,18,10,180,72,10
153,Dioni,38.023,23.933,2019-05-20,300,17,7,225,66,10
