,name,latitude,longitude,date,time,temperature,wind_speed,wind_dir,humidity,visibility,fire
241,Anthousa,38.025,23.876,2019-05-31,300,21,6,315,48,10,0
242,Anthousa,38.025,23.876,2019-05-31,600,22,6,315,37,10,0
243,Anthousa,38.025,23.876,2019-05-31,900,27,5,45,31,10,0
244,Anthousa,38.025,23.876,2019-05-31,1200,28,7,180,34,10,0
245,Anthousa,38.025,23.876,2019-05-31,1500,28,9,135,36,10,0
246,Anthousa,38.025,23.876,2019-05-31,1800,26,12,135,51,10,0
247,Anthousa,38.025,23.876,2019-05-31,2100,24,9,155,56,10,0
248,Anthousa,38.025,23.876,2019-06-01,0,22,4,225,60,10,0
249,Anthousa,38.025,23.876,2019-06-01,300,19,6,315,69,10,0
250,Anthousa,38.025,23.876,2019-06-01,600,20,8,45,62,10,0
251,Anthousa,38.025,23.876,2019-06-01,900,24,8,25,47,10,0
252,Anthousa,38.025,23.876,2019-06-01,1200,25,11,90,49,10,0
253,Anthousa,38.025,23.876,2019-06-01,1500,25,13,135,50,10,0
254,Anthousa,38.025,23.876,2019-06-01,1800,23,15,155,61,10,0
255,Anthousa,38.025,23.876,2019-06-01,2100,22,10,155,62,10,0
256,Anthousa,38.025,23.876,2019-06-02,0,21,5,205,64,10,0
257,Anthousa,38.025,23.876,2019-06-02,300,20,4,315,66,10,0
258,Anthousa,38.025,23.876,2019-06-02,600,20,4,45,57,10,0
259,Anthousa,38.025,23.876,2019-06-02,900,24,5,65,52,10,0
260,Anthousa,38.025,23.876,2019-06-02,1200,25,12,135,49,10,0
261,Anthousa,38.025,23.876,2019-06-02,1500,24,18,180,46,10,0
262,Anthousa,38.025,23.876,2019-06-02,1800,23,14,180,51,10,0
263,Anthousa,38.025,23.876,2019-06-02,2100,20,8,225,54,10,0
264,Anthousa,38.025,23.876,2019-06-03,0,20,12,270,58,10,0
265,Anthousa,38.025,23.876,2019-06-03,300,18,11,315,61,10,0
266,Anthousa,38.025,23.876,2019-06-03,600,19,11,315,48,10,0
267,Anthousa,38.025,23.876,2019-06-03,900,22,12,270,36,10,0
268,Anthousa,38.025,23.876,2019-06-03,1200,24,14,45,38,10,0
269,Anthousa,38.025,23.876,2019-06-03,1500,24,16,225,40,10,0
