name,latitude,longitude,date,time,temperature,wind_speed,wind_dir,humidity,visibility,fire
Marathonas,38.153,23.963,2014-01-15,1500,14,18,180,83,9,0
Marathonas,38.153,23.963,2014-01-15,1800,14,15,180,84,7,0
Marathonas,38.153,23.963,2014-01-15,2100,14,14,180,82,10,0
Marathonas,38.153,23.963,2014-01-16,0,13,15,205,83,10,0
Marathonas,38.153,23.963,2014-01-16,300,13,13,205,87,2,0
Marathonas,38.153,23.963,2014-01-16,600,12,11,225,88,10,0
Marathonas,38.153,23.963,2014-01-16,900,13,10,225,75,10,0
Marathonas,38.153,23.963,2014-01-16,1200,16,7,270,64,10,0
Marathonas,38.153,23.963,2014-01-16,1500,16,2,315,69,10,0
Marathonas,38.153,23.963,2014-01-16,1800,14,4,45,77,10,0
Marathonas,38.153,23.963,2014-01-16,2100,12,3,25,82,10,0
Marathonas,38.153,23.963,2014-01-17,0,12,6,315,81,10,0
Marathonas,38.153,23.963,2014-01-17,300,11,5,45,82,10,0
Marathonas,38.153,23.963,2014-01-17,600,10,6,225,83,10,0
Marathonas,38.153,23.963,2014-01-17,900,12,6,205,68,10,0
Marathonas,38.153,23.963,2014-01-17,1200,16,8,225,61,10,0
Marathonas,38.153,23.963,2014-01-17,1500,17,8,205,67,10,0
Marathonas,38.153,23.963,2014-01-17,1800,15,8,205,76,10,0
Marathonas,38.153,23.963,2014-01-17,2100,12,8,205,75,10,0
Marathonas,38.153,23.963,2014-01-18,0,12,7,205,75,10,0
Marathonas,38.153,23.963,2014-01-18,300,11,8,225,77,10,0
Marathonas,38.153,23.963,2014-01-18,600,10,12,225,77,10,0
Marathonas,38.153,23.963,2014-01-18,900,11,10,225,63,10,0
Marathonas,38.153,23.963,2014-01-18,1200,15,11,225,56,10,0
Marathonas,38.153,23.963,2014-01-18,1500,15,12,205,67,10,0
Marathonas,38.153,23.963,2014-01-18,1800,13,13,205,77,10,0
Marathonas,38.153,23.963,2014-01-18,2100,13,13,225,78,10,0
Marathonas,38.153,23.963,2014-01-19,0,13,8,45,83,10,0
Marathonas,38.153,23.963,2014-01-19,300,12,8,205,85,10,0
Marathonas,38.153,23.963,2014-01-19,600,12,8,205,86,10,0
Marathonas,38.153,23.963,2014-01-19,900,14,12,180,74,10,0
Marathonas,38.153,23.963,2014-01-19,1200,17,23,205,74,10,0
Marathonas,38.153,23.963,2014-01-19,1500,16,19,180,82,10,0
Marathonas,38.153,23.963,2014-01-19,1800,14,20,155,89,10,0
Marathonas,38.153,23.963,2014-01-19,2100,14,19,180,90,10,0
Marathonas,38.153,23.963,2014-01-20,0,14,16,180,89,10,0
Marathonas,38.153,23.963,2014-01-20,300,13,14,180,87,10,0
Marathonas,38.153,23.963,2014-01-20,600,13,15,205,88,10,0
Marathonas,38.153,23.963,2014-01-20,900,16,20,205,78,10,0
Marathonas,38.153,23.963,2014-01-20,1200,17,22,205,71,10,0
