name,latitude,longitude,date,time,temperature,wind_speed,wind_dir,humidity,visibility,fire
Kato Soulion,38.168,24.016,2014-01-15,1200,11,14,180,78,8,0
Kato Soulion,38.168,24.016,2014-01-15,1500,12,17,180,82,5,0
Kato Soulion,38.168,24.016,2014-01-15,1800,11,14,155,86,9,0
Kato Soulion,38.168,24.016,2014-01-15,2100,10,12,180,84,5,0
Kato Soulion,38.168,24.016,2014-01-16,0,9,11,205,85,10,0
Kato Soulion,38.168,24.016,2014-01-16,300,9,10,205,87,5,0
Kato Soulion,38.168,24.016,2014-01-16,600,9,10,225,90,9,0
Kato Soulion,38.168,24.016,2014-01-16,900,10,8,45,76,10,0
Kato Soulion,38.168,24.016,2014-01-16,1200,11,8,135,77,10,0
Kato Soulion,38.168,24.016,2014-01-16,1500,12,9,25,79,10,0
Kato Soulion,38.168,24.016,2014-01-16,1800,9,5,25,87,10,0
Kato Soulion,38.168,24.016,2014-01-16,2100,8,1,45,90,10,0
Kato Soulion,38.168,24.016,2014-01-17,0,8,6,45,88,10,0
Kato Soulion,38.168,24.016,2014-01-17,300,7,6,205,87,10,0
Kato Soulion,38.168,24.016,2014-01-17,600,6,8,205,87,10,0
Kato Soulion,38.168,24.016,2014-01-17,900,9,8,205,71,10,0
Kato Soulion,38.168,24.016,2014-01-17,1200,11,6,205,72,10,0
Kato Soulion,38.168,24.016,2014-01-17,1500,12,4,180,73,10,0
Kato Soulion,38.168,24.016,2014-01-17,1800,10,10,205,79,10,0
Kato Soulion,38.168,24.016,2014-01-17,2100,9,12,205,77,10,0
Kato Soulion,38.168,24.016,2014-01-18,0,8,13,205,77,10,0
Kato Soulion,38.168,24.016,2014-01-18,300,7,9,205,79,10,0
Kato Soulion,38.168,24.016,2014-01-18,600,7,10,225,79,10,0
Kato Soulion,38.168,24.016,2014-01-18,900,9,12,225,63,10,0
Kato Soulion,38.168,24.016,2014-01-18,1200,12,10,205,63,10,0
Kato Soulion,38.168,24.016,2014-01-18,1500,13,7,180,63,10,0
Kato Soulion,38.168,24.016,2014-01-18,1800,11,12,205,72,10,0
Kato Soulion,38.168,24.016,2014-01-18,2100,10,13,205,76,10,0
Kato Soulion,38.168,24.016,2014-01-19,0,9,9,225,83,10,0
Kato Soulion,38.168,24.016,2014-01-19,300,9,10,205,84,10,0
Kato Soulion,38.168,24.016,2014-01-19,600,8,11,205,86,10,0
Kato Soulion,38.168,24.016,2014-01-19,900,11,11,205,72,10,0
Kato Soulion,38.168,24.016,2014-01-19,1200,13,13,180,74,10,0
Kato Soulion,38.168,24.016,2014-01-19,1500,14,15,180,76,10,0
Kato Soulion,38.168,24.016,2014-01-19,1800,12,13,155,90,10,0
Kato Soulion,38.168,24.016,2014-01-19,2100,10,14,180,91,9,0
Kato Soulion,38.168,24.016,2014-01-20,0,10,15,180,91,10,0
Kato Soulion,38.168,24.016,2014-01-20,300,10,14,180,90,10,0
Kato Soulion,38.168,24.016,2014-01-20,600,9,13,205,89,10,0
Kato Soulion,38.168,24.016,2014-01-20,900,11,14,205,76,10,0
Kato Soulion,38.168,24.016,2014-01-20,1200,13,19,180,75,10,0
Kato Soulion,38.168,24.016,2014-01-20,1500,15,17,180,74,10,0
Kato Soulion,38.168,24.016,2014-01-20,1800,12,14,155,91,10,0
Kato Soulion,38.168,24.016,2014-01-20,2100,11,13,180,91,10,0
Kato Soulion,38.168,24.016,2014-01-21,0,9,12,205,89,10,0
Kato Soulion,38.168,24.016,2014-01-21,300,8,12,180,90,10,0
Kato Soulion,38.168,24.016,2014-01-21,600,8,11,205,90,10,0
Kato Soulion,38.168,24.016,2014-01-21,900,10,13,225,68,10,0
Kato Soulion,38.168,24.016,2014-01-21,1200,12,15,205,64,10,0
Kato Soulion,38.168,24.016,2014-01-21,1500,13,19,205,59,10,0
Kato Soulion,38.168,24.016,2014-01-21,1800,10,14,225,72,10,0
Kato Soulion,38.168,24.016,2014-01-21,2100,9,15,225,68,10,0
Kato Soulion,38.168,24.016,2014-01-22,0,8,13,45,67,10,0
Kato Soulion,38.168,24.016,2014-01-22,300,7,12,225,72,10,0
